artist,song,duration_ms,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre,duration_minutes
kelis,trick me,206106,True,2003,63,0.97,0.72,1,-3.347,0,0.149,0.0369,0.000389,0.326,0.962,107.17,pop,3.4351
ll cool j,headsprung,267320,False,2004,56,0.718,0.786,0,-5.76,1,0.0284,0.0114,2.5e-05,0.0745,0.465,99.916,hip hop,4.455333333333333
spiderbait,black betty - edit,205973,False,2004,63,0.562,0.865,7,-6.476,0,0.0922,2.06e-05,0.591,0.219,0.35,124.047,rock,3.4328833333333333
george michael,amazing,265826,False,2004,57,0.805,0.754,10,-6.825,0,0.0394,0.0884,1.77e-06,0.117,0.88,128.429,set(),4.430433333333333
britney spears,my prerogative,213893,False,2004,53,0.749,0.938,10,-4.423,0,0.118,0.0127,1.96e-06,0.103,0.619,111.014,pop,3.5648833333333334
nina sky,move ya body,232000,False,2004,67,0.87,0.712,11,-6.313,0,0.0432,0.0202,0.000331,0.0576,0.877,121.057,pop,3.8666666666666667
petey pablo,freek-a-leek,235186,True,2003,56,0.737,0.697,2,-3.716,1,0.254,0.0756,0.0,0.359,0.662,104.917,hip hop,3.919766666666667
jay-z,dirt off your shoulder,245173,True,2003,53,0.779,0.655,1,-7.147,1,0.318,0.0319,2.63e-06,0.339,0.645,163.971,hip hop,4.086216666666667
juanes,la camisa negra,216706,False,2004,70,0.751,0.731,6,-4.419,0,0.0308,0.0838,0.0,0.0556,0.973,97.007,pop,3.6117666666666666
avril lavigne,nobody's home,212413,False,2004,61,0.348,0.907,5,-3.66,0,0.0497,0.000516,0.0,0.161,0.177,185.406,pop,3.540216666666667
robbie williams,radio,233600,False,2004,33,0.607,0.874,5,-5.409,0,0.0349,0.00331,0.0494,0.26,0.846,130.015,pop,3.8933333333333335
black eyed peas,hey mama,214893,True,2003,49,0.86,0.866,4,-6.345,0,0.232,0.104,1.42e-06,0.584,0.933,100.15,hip hop,3.58155
ying yang twins,salt shaker,252440,True,2003,61,0.884,0.697,11,-6.022,1,0.128,0.0509,0.0,0.094,0.322,101.965,hip hop,4.207333333333334
enrique iglesias,not in love - radio mix,223133,False,2003,37,0.762,0.885,0,-5.096,0,0.0395,0.0371,0.0,0.0519,0.886,117.021,pop,3.7188833333333333
kelis,milkshake,182626,False,2003,68,0.881,0.774,1,-6.068,1,0.0439,0.00986,0.0346,0.206,0.759,112.968,pop,3.0437666666666665
linkin park,breaking the habit,196906,False,2003,68,0.579,0.849,4,-5.218,0,0.0303,0.108,0.0,0.0909,0.581,100.021,rock,3.2817666666666665
jojo,leave (get out) - radio edit,242746,False,2005,49,0.656,0.513,5,-8.691,1,0.253,0.156,6.45e-05,0.0763,0.464,86.891,hip hop,4.045766666666666
christina milian,dip it low,197186,False,2004,45,0.752,0.722,11,-4.207,0,0.104,0.0108,0.000536,0.0753,0.612,169.131,hip hop,3.2864333333333335
avant,read your mind,263506,False,2003,56,0.755,0.381,8,-6.696,0,0.0711,0.291,5.13e-06,0.0974,0.695,73.108,pop,4.391766666666666
eminem,just lose it,248680,True,2004,67,0.94,0.633,8,-3.56,1,0.0467,0.0581,4.04e-05,0.281,0.962,121.003,hip hop,4.144666666666667
snoop dogg,drop it like it's hot,266066,True,2004,39,0.892,0.628,1,-3.832,1,0.216,0.169,0.0,0.102,0.676,92.063,hip hop,4.434433333333334
sean paul,i'm still in love with you (feat. sasha),273360,False,2002,68,0.765,0.666,7,-5.384,1,0.172,0.102,0.0,0.116,0.756,87.002,hip hop,4.556
the shapeshifters,lola's theme - radio edit,207066,False,2004,65,0.748,0.845,5,-4.612,0,0.0536,0.00083,0.000225,0.068,0.659,123.925,Dance/Electronic,3.4511
d12,how come,249533,True,2004,57,0.745,0.858,9,-2.221,1,0.237,0.28,0.0,0.188,0.547,89.983,hip hop,4.158883333333334
basement jaxx,good luck,282306,False,2003,0,0.571,0.968,5,-3.092,1,0.162,0.0649,3.07e-06,0.592,0.313,154.07,pop,4.7051
kevin lyttle,turn me on,192106,False,2004,67,0.677,0.682,9,-6.879,1,0.0361,0.0405,0.0,0.0351,0.875,106.279,hip hop,3.201766666666667
chingy,one call away,276800,False,2003,61,0.765,0.821,4,-5.926,0,0.183,0.0918,0.0,0.217,0.962,162.519,hip hop,4.613333333333333
t.i.,bring em out,216706,True,2004,63,0.759,0.891,11,-2.983,1,0.257,0.0298,0.0,0.141,0.587,98.579,hip hop,3.6117666666666666
dj casper,cha cha slide - hardino mix,222146,False,2004,51,0.853,0.911,11,-6.722,0,0.125,0.0436,0.00571,0.287,0.802,131.012,set(),3.7024333333333335
kylie minogue,i believe in you,200973,False,2004,47,0.548,0.785,7,-5.087,1,0.0704,0.00277,0.048,0.329,0.418,120.939,pop,3.34955
twista,overnight celebrity,233360,True,2004,66,0.828,0.792,10,-5.435,0,0.179,0.182,0.0,0.281,0.777,134.199,hip hop,3.8893333333333335
n.e.r.d,she wants to move,213786,False,2004,57,0.766,0.851,5,-4.831,1,0.0786,0.00402,0.000744,0.256,0.8,115.012,hip hop,3.5631
u2,vertigo,193520,False,2004,64,0.416,0.819,9,-3.974,1,0.0613,0.000138,0.00108,0.147,0.632,140.083,World/Traditional,3.2253333333333334
franz ferdinand,take me out,237026,False,2004,77,0.277,0.663,4,-8.821,0,0.0377,0.000409,0.00051,0.136,0.527,104.561,rock,3.9504333333333332
j-kwon,tipsy - club mix,247106,True,2001,59,0.925,0.741,9,-5.827,0,0.315,0.0653,0.0,0.044,0.654,93.04,hip hop,4.118433333333333
g-unit,wanna get to know you,265026,True,2003,61,0.513,0.826,10,-3.651,0,0.132,0.106,0.0,0.0675,0.889,76.91,hip hop,4.4171
lil' flip,sunshine (feat. lea),225173,True,2004,42,0.814,0.387,0,-9.867,1,0.0946,0.0248,0.0,0.131,0.792,93.961,hip hop,3.752883333333333
kanye west,jesus walks,193733,True,2004,73,0.637,0.834,3,-4.686,0,0.323,0.614,0.0,0.317,0.715,87.312,hip hop,3.2288833333333335
nelly,my place,336506,True,2004,57,0.6,0.641,1,-4.237,0,0.0423,0.0498,1.49e-06,0.0982,0.642,163.153,hip hop,5.608433333333333
lemar,if there's any justice,229080,False,2004,46,0.706,0.665,6,-5.348,0,0.0453,0.0128,0.0,0.338,0.639,89.993,R&B,3.818
avril lavigne,don't tell me,202013,False,2004,58,0.523,0.795,4,-2.92,1,0.0386,0.00462,0.0,0.358,0.484,144.106,pop,3.3668833333333335
twista,slow jamz,316053,True,2004,72,0.559,0.733,2,-5.659,0,0.171,0.314,0.0,0.284,0.611,145.115,hip hop,5.26755
green day,american idiot,176346,True,2004,77,0.38,0.988,1,-2.042,1,0.0639,2.64e-05,7.86e-05,0.368,0.769,186.113,rock,2.9391
kelis,millionaire,224933,False,2003,57,0.68,0.847,11,-6.636,1,0.108,0.0217,0.0,0.0374,0.75,176.051,pop,3.748883333333333
scissor sisters,comfortably numb,266040,False,2004,43,0.803,0.924,7,-6.466,1,0.0391,0.237,0.0167,0.104,0.788,116.972,pop,4.434
alicia keys,diary (feat. tony! toni! tone! & jermaine paul),284160,False,2003,55,0.663,0.465,8,-9.711,0,0.0317,0.555,0.00183,0.125,0.279,127.932,pop,4.736
kanye west,through the wire,221226,True,2004,76,0.571,0.739,7,-6.11,1,0.247,0.00865,5.21e-06,0.158,0.66,83.089,hip hop,3.6871
special d.,come with me - radio edit,185133,False,2004,61,0.739,0.999,7,-5.077,1,0.0803,0.13,0.00224,0.28,0.501,139.982,pop,3.08555
ludacris,splash waterfalls,290760,True,2003,48,0.734,0.846,11,-6.102,1,0.409,0.101,0.0,0.233,0.702,145.894,hip hop,4.846
avril lavigne,my happy ending,242413,True,2004,68,0.414,0.936,2,-2.407,1,0.0758,0.00136,0.0,0.369,0.74,170.229,pop,4.040216666666667
eamon,fuck it (i don't want you back),225106,True,2004,64,0.828,0.653,0,-6.245,0,0.0653,0.214,3.25e-06,0.0404,0.575,68.507,set(),3.7517666666666667
beyoncé,"me, myself and i",301133,False,2003,62,0.75,0.458,1,-9.092,1,0.0803,0.226,3.25e-05,0.137,0.536,83.61,pop,5.018883333333333
3 doors down,here without you,238733,False,2002,74,0.557,0.533,10,-6.817,0,0.0252,0.0492,0.0,0.205,0.233,143.994,pop,3.9788833333333335
kanye west,all falls down,223506,True,2004,80,0.657,0.734,8,-4.832,0,0.484,0.149,0.0,0.139,0.434,91.03,hip hop,3.7251
twista,sunshine (feat. anthony hamilton),226013,True,2004,56,0.926,0.888,11,-5.337,1,0.294,0.261,0.0,0.348,0.819,98.523,hip hop,3.7668833333333334
usher,my boo,223440,False,2004,76,0.662,0.507,5,-8.238,1,0.118,0.257,0.0,0.0465,0.676,86.412,hip hop,3.724
lloyd,southside,277840,False,2004,59,0.688,0.404,9,-9.481,0,0.0818,0.377,0.0,0.0813,0.448,75.007,hip hop,4.6306666666666665
lmc,take me to the clouds above - lmc vs. u2 / radio edit,171546,False,2004,59,0.668,0.905,6,-5.395,1,0.038,0.00232,0.0331,0.141,0.667,128.658,Dance/Electronic,2.8591
the streets,fit but you know it,254266,True,2004,58,0.68,0.844,6,-1.729,1,0.299,0.23,0.0,0.0305,0.895,172.302,hip hop,4.2377666666666665
juvenile,slow motion,248200,True,2003,64,0.713,0.734,0,-4.894,0,0.325,0.548,0.0,0.0687,0.89,172.872,hip hop,4.136666666666667
girls aloud,love machine,205360,False,2004,59,0.663,0.95,7,-4.21,1,0.0621,0.00127,0.00492,0.0753,0.697,116.02,pop,3.4226666666666667
jessica simpson,with you,191826,False,2003,57,0.553,0.756,0,-4.583,1,0.108,0.0923,0.0,0.215,0.605,94.487,pop,3.1971
eminem,like toy soldiers,296880,True,2004,48,0.52,0.768,8,-3.489,0,0.359,0.0193,0.00034,0.104,0.398,79.178,hip hop,4.948
ashlee simpson,pieces of me,217440,False,2004,56,0.505,0.799,2,-4.286,1,0.0773,0.0572,0.0,0.11,0.772,174.001,pop,3.624
alicia keys,you don't know my name,366733,False,2003,61,0.264,0.663,9,-8.264,1,0.187,0.59,0.00443,0.342,0.249,167.078,pop,6.112216666666667
mariah carey,we belong together,201400,False,2005,69,0.84,0.476,0,-7.918,1,0.0629,0.0264,0.0,0.0865,0.767,139.987,pop,3.3566666666666665
mario,let me love you,256733,False,2004,72,0.656,0.578,7,-8.97,0,0.0922,0.235,0.0,0.118,0.556,94.514,pop,4.278883333333333
kanye west,gold digger,207626,True,2005,78,0.629,0.696,1,-5.572,0,0.348,0.0195,0.0,0.0554,0.623,93.034,hip hop,3.4604333333333335
rihanna,pon de replay,246960,False,2005,77,0.779,0.64,7,-8.415,1,0.159,0.000155,0.00077,0.101,0.498,99.019,hip hop,4.116
50 cent,candy shop,209106,True,2005,79,0.614,0.574,11,-7.961,1,0.466,0.0253,3.2e-05,0.38,0.755,125.173,hip hop,3.4851
james blunt,you're beautiful,209493,True,2005,75,0.675,0.479,0,-9.87,0,0.0278,0.633,1.76e-05,0.088,0.454,81.998,pop,3.49155
green day,boulevard of broken dreams,261266,True,2004,72,0.49,0.679,8,-3.68,1,0.0309,0.00394,1.54e-05,0.0383,0.506,167.046,rock,4.354433333333334
the pussycat dolls,don't cha,272080,False,2005,72,0.875,0.631,1,-3.475,1,0.099,0.00542,2.54e-06,0.127,0.549,120.003,pop,4.534666666666666
daniel powter,bad day,233640,False,2005,74,0.599,0.785,3,-4.013,1,0.0309,0.448,0.00336,0.151,0.52,140.046,pop,3.894
akon,bananza (belly dancer),238493,False,2004,28,0.878,0.699,10,-5.897,0,0.132,0.0345,3.37e-06,0.755,0.666,104.838,pop,3.9748833333333335
madonna,hung up,337733,False,2005,74,0.649,0.647,9,-7.695,0,0.0452,0.0039,0.161,0.0686,0.405,125.02,pop,5.6288833333333335
50 cent,just a lil bit,237706,True,2005,76,0.489,0.692,1,-6.672,1,0.41,0.0322,0.00608,0.315,0.527,96.946,hip hop,3.9617666666666667
crazy frog,axel f,168879,False,2005,67,0.86,0.907,2,-3.321,1,0.0407,0.279,0.693,0.0648,0.786,138.045,pop,2.81465
eminem,ass like that,265480,True,2004,52,0.646,0.796,2,-6.152,1,0.366,0.409,0.0,0.107,0.676,83.093,hip hop,4.424666666666667
sean paul,we be burnin',213066,False,2005,59,0.95,0.803,1,-4.195,1,0.151,0.145,0.0,0.0748,0.86,117.0,hip hop,3.5511
gwen stefani,rich girl,236213,False,2004,68,0.856,0.754,7,-2.728,0,0.0416,0.0294,1.49e-05,0.206,0.722,98.018,pop,3.9368833333333333
the chemical brothers,galvanize,393813,False,2005,63,0.745,0.714,7,-3.681,1,0.0751,0.0141,0.0222,0.363,0.365,104.003,Dance/Electronic,6.56355
fort minor,remember the name (feat. styles of beyond),230493,True,2005,73,0.688,0.835,8,-4.162,1,0.0911,0.0583,2.87e-06,0.0795,0.88,84.858,hip hop,3.84155
50 cent,disco inferno,214226,True,2005,72,0.925,0.659,3,-4.763,1,0.231,0.206,7.88e-05,0.279,0.71,97.018,hip hop,3.5704333333333333
the game,how we do,235533,True,2005,74,0.862,0.648,4,-7.401,0,0.251,0.0455,0.0,0.0332,0.637,98.012,hip hop,3.92555
chris brown,run it! (feat. juelz santana),229866,False,2005,71,0.846,0.482,1,-6.721,0,0.129,0.0246,0.0,0.393,0.212,100.969,hip hop,3.8311
mariah carey,it's like that,203360,False,2005,0,0.8,0.633,8,-4.875,0,0.0514,0.0901,0.0,0.0315,0.836,95.953,pop,3.3893333333333335
black eyed peas,my humps,326960,False,2005,67,0.802,0.682,1,-5.924,0,0.222,0.111,1.39e-05,0.109,0.586,123.95,hip hop,5.449333333333334
ciara,oh (feat. ludacris),256346,False,2004,61,0.8,0.496,7,-7.135,1,0.0506,0.000298,0.0,0.0697,0.357,128.29,pop,4.272433333333334
50 cent,outta control - remix,247506,True,2005,60,0.772,0.599,8,-5.996,0,0.246,0.0277,0.0,0.0839,0.557,92.029,hip hop,4.1251
baby bash,"baby, i'm back",219920,True,2005,4,0.899,0.365,9,-5.461,0,0.105,0.0508,0.0,0.097,0.749,100.01,hip hop,3.6653333333333333
jennifer lopez,get right,225533,False,2005,65,0.741,0.759,0,-5.096,0,0.12,0.0218,0.0,0.628,0.362,97.084,hip hop,3.7588833333333334
jay-z,numb / encore,205733,True,2004,76,0.687,0.793,2,-4.254,1,0.166,0.0603,0.0,0.582,0.751,107.045,hip hop,3.4288833333333333
the game,hate it or love it,206400,True,2005,77,0.802,0.785,9,-4.781,1,0.207,0.14,0.0,0.123,0.435,99.998,hip hop,3.44
gorillaz,feel good inc.,222640,False,2005,82,0.818,0.705,6,-6.679,1,0.177,0.00836,0.00233,0.613,0.772,138.559,hip hop,3.7106666666666666
black eyed peas,don't phunk with my heart,239773,False,2005,62,0.69,0.928,5,-2.76,0,0.061,0.00937,0.0,0.547,0.604,130.889,hip hop,3.9962166666666668
akon,lonely,235800,True,2004,21,0.629,0.532,5,-7.88,0,0.0352,0.331,0.0,0.238,0.619,90.098,pop,3.93
bodyrockers,i like the way - radio edit,200053,False,2005,54,0.642,0.851,6,-3.638,1,0.0431,0.0248,0.0146,0.084,0.777,127.988,rock,3.334216666666667
sugababes,push the button,218093,False,2005,64,0.962,0.66,8,-5.096,1,0.061,0.0485,0.0,0.076,0.814,126.016,pop,3.6348833333333332
jeezy,soul survivor,280013,True,2005,55,0.684,0.493,10,-7.728,1,0.0459,0.000839,0.0,0.157,0.08,84.03,hip hop,4.666883333333334
eminem,mockingbird,250760,True,2004,77,0.637,0.678,0,-3.798,1,0.266,0.209,0.0,0.156,0.254,84.039,hip hop,4.179333333333333
shakira,la tortura (feat. alejandro sanz),212893,False,2005,72,0.74,0.783,0,-5.367,1,0.0427,0.0297,0.000308,0.123,0.812,100.011,pop,3.548216666666667
gorillaz,dare,244999,False,2005,73,0.76,0.891,11,-5.852,0,0.0372,0.0229,0.0869,0.298,0.966,120.264,hip hop,4.083316666666667
snoop dogg,signs,236813,True,2004,54,0.94,0.713,7,-5.308,1,0.127,0.0319,0.00076,0.325,0.666,112.955,hip hop,3.9468833333333335
robbie williams,tripping,276603,False,2005,58,0.666,0.922,2,-4.458,0,0.0429,0.0381,0.000191,0.0633,0.828,118.014,pop,4.61005
david banner,play,230133,True,2005,52,0.837,0.658,1,-8.013,0,0.126,0.000213,0.122,0.243,0.586,95.027,hip hop,3.83555
trillville,some cut,283454,True,2004,50,0.9,0.515,1,-6.626,1,0.372,0.00341,0.0,0.111,0.659,84.995,hip hop,4.724233333333333
d4l,laffy taffy,224253,True,2005,63,0.891,0.439,7,-7.994,0,0.428,0.0351,0.0,0.0932,0.622,77.499,hip hop,3.73755
missy elliott,lose control (feat. ciara & fat man scoop),226863,True,2005,67,0.904,0.813,4,-7.105,0,0.121,0.0311,0.00697,0.0471,0.81,125.461,hip hop,3.78105
rob thomas,lonely no more,226640,False,2005,56,0.551,0.896,9,-3.152,0,0.109,0.033,0.0,0.0899,0.858,171.79,pop,3.7773333333333334
brian mcfadden,almost here,229826,False,2004,42,0.561,0.452,9,-7.324,0,0.0336,0.409,0.0,0.106,0.316,77.984,set(),3.830433333333333
bobby v.,"slow down - 12"" version",258666,False,2005,65,0.568,0.732,11,-4.896,0,0.103,0.179,4.92e-06,0.401,0.626,186.048,hip hop,4.3111
backstreet boys,incomplete,239586,False,2005,63,0.437,0.589,4,-4.834,1,0.0331,0.231,0.0,0.0768,0.165,133.631,pop,3.9931
pretty ricky,grind with me,237733,True,2005,63,0.7,0.538,1,-5.952,1,0.045,0.000204,0.0,0.105,0.189,136.518,hip hop,3.9622166666666665
kanye west,diamonds from sierra leone - remix,233400,True,2005,61,0.672,0.814,7,-3.768,1,0.27,0.258,0.0,0.164,0.379,97.043,hip hop,3.89
fat joe,get it poppin' (feat. nelly) - radio version,211320,False,2005,41,0.905,0.55,1,-7.558,1,0.372,0.0628,0.0,0.0644,0.52,100.813,hip hop,3.522
destiny's child,soldier (feat. t.i. & lil' wayne),325573,False,2004,63,0.878,0.417,7,-6.799,1,0.361,0.0444,0.0,0.0833,0.904,77.49,pop,5.426216666666667
amerie,1 thing,238746,False,2008,52,0.636,0.946,10,-4.683,0,0.332,0.115,3.75e-05,0.0416,0.891,125.085,hip hop,3.9791
ludacris,get back,270746,True,2004,59,0.555,0.639,1,-5.16,1,0.263,0.0594,0.0,0.118,0.184,171.609,hip hop,4.512433333333333
franz ferdinand,do you want to,215000,False,2005,61,0.412,0.944,0,-2.896,1,0.0448,0.0724,0.000493,0.801,0.79,123.091,rock,3.5833333333333335
natalie imbruglia,shiver,222653,False,2005,52,0.489,0.798,1,-4.49,1,0.0316,0.00115,2.81e-06,0.149,0.309,94.163,pop,3.7108833333333333
gwen stefani,hollaback girl,199853,True,2004,69,0.926,0.916,10,-2.221,0,0.0929,0.35,6.17e-06,0.0234,0.904,110.007,pop,3.3308833333333334
pretty ricky,your body,240040,True,2005,59,0.838,0.594,4,-5.695,0,0.113,0.176,0.0,0.0867,0.507,90.038,hip hop,4.000666666666667
thirty seconds to mars,the kill,231533,False,2005,74,0.179,0.912,4,-3.881,0,0.0791,0.0014,0.000294,0.582,0.289,182.99,rock,3.8588833333333334
alicia keys,karma,256000,False,2003,50,0.727,0.736,10,-6.203,1,0.0615,0.0743,0.00311,0.0348,0.687,85.098,pop,4.266666666666667
2pac,ghetto gospel,238053,True,2004,68,0.794,0.614,5,-5.352,0,0.0467,0.0964,0.0,0.0788,0.663,80.569,hip hop,3.96755
craig david,don't love you no more (i'm sorry),243986,False,2005,56,0.636,0.558,7,-7.076,1,0.0245,0.462,0.0,0.062,0.572,100.113,hip hop,4.066433333333333
lil jon & the east side boyz,lovers and friends,260600,True,2004,66,0.675,0.501,10,-6.183,1,0.22,0.0541,0.0,0.429,0.532,139.861,hip hop,4.343333333333334
mariah carey,don't forget about us - radio edit,233866,False,2005,0,0.7,0.529,10,-6.816,0,0.0395,0.0422,0.0,0.101,0.386,143.555,pop,3.8977666666666666
will smith,switch,197666,False,2020,34,0.873,0.9,5,-4.325,0,0.18,0.0107,0.000502,0.556,0.478,102.516,hip hop,3.2944333333333335
bow wow,like you (feat. ciara),205840,False,2005,66,0.714,0.6,6,-8.365,1,0.0876,0.0465,0.0,0.0646,0.504,82.017,hip hop,3.4306666666666668
kaiser chiefs,everyday i love you less and less,217706,False,2005,58,0.49,0.956,1,-4.556,0,0.0407,0.00466,6.15e-06,0.242,0.577,160.028,rock,3.628433333333333
kelly clarkson,behind these hazel eyes,198973,False,2004,59,0.548,0.889,9,-4.682,1,0.0382,0.00165,0.00109,0.197,0.425,90.048,pop,3.3162166666666666
black eyed peas,don't lie,219000,False,2005,61,0.662,0.785,9,-5.299,1,0.186,0.16,0.0,0.0784,0.604,89.885,hip hop,3.65
westlife,you raise me up,241066,False,2005,1,0.129,0.358,10,-6.596,1,0.0314,0.631,0.0,0.0886,0.172,75.048,pop,4.017766666666667
ray j,one wish,337640,False,2005,62,0.525,0.652,5,-7.042,0,0.28,0.278,0.0,0.339,0.602,127.673,hip hop,5.6273333333333335
papa roach,scars,208199,False,2004,60,0.455,0.929,11,-3.295,1,0.0494,0.0875,0.0,0.226,0.484,89.782,rock,3.4699833333333334
arctic monkeys,i bet you look good on the dancefloor,173680,False,2006,71,0.535,0.948,6,-4.19,0,0.0356,0.00225,0.0,0.376,0.778,103.183,rock,2.8946666666666667
shayne ward,that's my goal,219600,False,2006,1,0.286,0.508,2,-5.966,1,0.0336,0.372,0.0,0.27,0.14,68.637,pop,3.66
bow wow,let me hold you (feat. omarion),248493,False,2005,62,0.815,0.662,6,-8.244,1,0.199,0.0915,0.000409,0.0898,0.611,151.518,hip hop,4.14155
kaiser chiefs,i predict a riot,233186,False,2005,63,0.395,0.979,8,-3.241,1,0.0766,0.0243,0.0,0.12,0.41,158.842,rock,3.886433333333333
usher,caught up,224640,False,2004,61,0.817,0.806,6,-4.606,1,0.0623,0.027,9e-06,0.119,0.805,110.086,hip hop,3.744
kelly clarkson,because of you,219493,False,2004,71,0.587,0.583,5,-5.284,0,0.0313,0.248,0.0,0.124,0.15,139.92,pop,3.6582166666666667
3 doors down,let me go,243053,False,2012,52,0.478,0.863,1,-4.914,0,0.0387,0.0181,0.0,0.111,0.491,92.004,pop,4.050883333333333
nickelback,photograph,258920,False,2005,67,0.515,0.876,8,-3.756,1,0.0292,0.000932,0.000166,0.136,0.385,145.916,rock,4.315333333333333
destiny's child,cater 2 u,245400,False,2004,58,0.605,0.584,11,-7.043,0,0.197,0.286,0.0,0.235,0.464,125.802,pop,4.09
the pussycat dolls,stickwitu,207506,False,2005,67,0.548,0.554,9,-6.408,1,0.0587,0.283,0.0,0.0708,0.382,79.918,pop,3.4584333333333332
stereophonics,dakota,297426,False,2005,69,0.506,0.93,4,-3.499,1,0.0675,0.129,0.00682,0.0931,0.305,146.994,rock,4.9571
eminem,like toy soldiers,296880,True,2004,67,0.52,0.768,8,-3.489,0,0.359,0.0193,0.00034,0.104,0.398,79.178,hip hop,4.948
coldplay,speed of sound,287906,False,2005,69,0.514,0.898,11,-6.765,0,0.0577,0.00488,0.0345,0.0746,0.353,123.067,rock,4.7984333333333336
kt tunstall,suddenly i see,201706,False,2005,71,0.587,0.767,0,-5.713,1,0.0449,0.225,0.0,0.112,0.664,100.38,World/Traditional,3.3617666666666666
destiny's child,girl,224146,False,2004,55,0.567,0.747,6,-6.019,0,0.105,0.31,0.0,0.04,0.556,89.036,pop,3.7357666666666667
kelly clarkson,since u been gone,188960,False,2004,71,0.662,0.739,9,-5.354,0,0.0322,0.00206,0.0603,0.113,0.382,130.999,pop,3.1493333333333333
u2,sometimes you can't make it on your own,305080,False,2004,56,0.53,0.597,2,-5.652,1,0.0247,0.00275,0.473,0.105,0.346,96.0,World/Traditional,5.084666666666666
the all-american rejects,dirty little secret,193653,False,2005,65,0.469,0.955,10,-4.253,1,0.0432,0.000343,1.35e-06,0.548,0.462,143.853,rock,3.22755
toby keith,as good as i once was,227840,False,2005,67,0.68,0.87,5,-4.461,1,0.0393,0.266,0.0,0.109,0.646,119.075,country,3.7973333333333334
gwen stefani,cool,189333,False,2004,59,0.709,0.721,2,-3.52,1,0.0281,0.0322,0.000309,0.355,0.801,112.019,pop,3.15555
foo fighters,best of you,255626,False,2005,76,0.366,0.94,1,-5.119,0,0.0696,0.000769,9.42e-05,0.188,0.369,130.198,rock,4.260433333333333
shakira,hips don't lie (feat. wyclef jean),218093,False,2005,82,0.778,0.824,10,-5.892,0,0.0707,0.284,0.0,0.405,0.758,100.024,pop,3.6348833333333332
sean paul,temperature,218573,False,2005,78,0.951,0.6,0,-4.675,0,0.0685,0.106,0.0,0.0712,0.822,125.04,hip hop,3.6428833333333333
justin timberlake,sexyback (feat. timbaland),242733,True,2006,78,0.967,0.583,7,-5.562,0,0.0789,0.0584,0.0,0.0519,0.964,117.0,pop,4.04555
beyoncé,irreplaceable,227853,False,2007,70,0.447,0.694,7,-4.637,0,0.382,0.0293,5.46e-06,0.167,0.509,175.868,pop,3.79755
rihanna,sos,238920,False,2006,73,0.677,0.671,7,-4.905,1,0.0361,0.004,5.07e-05,0.413,0.527,137.046,hip hop,3.982
gnarls barkley,crazy,177466,False,2006,74,0.855,0.587,8,-4.589,1,0.0336,0.0505,0.00714,0.105,0.64,111.97,hip hop,2.9577666666666667
busta rhymes,touch it,214960,True,2006,61,0.658,0.551,1,-6.62,1,0.37,0.0043,0.000108,0.197,0.442,138.335,hip hop,3.582666666666667
nelly furtado,maneater,258893,False,2006,79,0.796,0.777,6,-4.81,1,0.0397,0.0261,0.000358,0.121,0.787,132.722,hip hop,4.314883333333333
bob sinclar,rock this party - everybody dance now,245466,False,2006,69,0.893,0.823,5,-3.708,0,0.122,0.0714,0.0,0.0509,0.902,128.009,pop,4.0911
diddy,come to me (feat. nicole scherzinger),276786,True,2006,55,0.819,0.485,6,-6.45,0,0.0756,0.0176,0.0,0.658,0.386,96.998,hip hop,4.6131
madonna,sorry,281880,False,2005,61,0.589,0.877,0,-6.229,0,0.046,0.00121,0.013,0.169,0.443,132.971,pop,4.698
chamillionaire,ridin',303053,True,2005,71,0.787,0.799,8,-4.68,0,0.0993,0.189,0.0,0.3,0.835,143.052,hip hop,5.050883333333333
black eyed peas,pump it,213066,False,2005,75,0.648,0.931,1,-3.15,0,0.181,0.00937,0.0,0.752,0.744,153.649,hip hop,3.5511
nelly furtado,promiscuous,242293,False,2006,82,0.808,0.97,10,-6.098,0,0.0506,0.0569,6.13e-05,0.154,0.868,114.328,hip hop,4.038216666666667
fedde le grand,put your hands up for detroit - radio edit,150533,False,2015,39,0.814,0.923,7,-4.525,1,0.229,0.0154,0.154,0.0862,0.518,127.919,pop,2.5088833333333334
sean paul,(when you gonna) give it up to me (feat. keyshia cole) - radio version,243880,False,2006,58,0.711,0.761,8,-3.04,1,0.225,0.067,0.0,0.041,0.718,95.824,hip hop,4.064666666666667
ciara,get up (feat. chamillionaire),261880,False,2006,59,0.964,0.595,1,-6.887,0,0.109,0.0248,5.14e-06,0.0405,0.629,128.593,pop,4.3646666666666665
eminem,shake that,274440,True,2005,74,0.963,0.643,1,-5.785,0,0.117,0.0507,4.94e-05,0.157,0.534,107.005,hip hop,4.574
cherish,do it to it,226293,False,2006,65,0.826,0.67,2,-5.559,1,0.169,0.00798,0.0,0.495,0.794,74.007,hip hop,3.77155
muse,supermassive black hole,212439,False,2006,75,0.668,0.921,7,-3.727,1,0.0439,0.0492,0.00517,0.0877,0.782,120.0,rock,3.54065
chris brown,gimme that,186826,False,2005,63,0.678,0.572,11,-7.033,0,0.0466,0.00374,6.59e-05,0.118,0.444,87.165,hip hop,3.113766666666667
